TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.50003;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
2.9555628e-01;0.0000000e+00;1.4854774e-01;2882;3.9850515e-03;0.0000000e+00;1.2745910e-03;1.0026129e+03;3.7718374e+03;3;
3.0049080e-01;0.0000000e+00;1.3655436e-01;2952;2.7171541e-03;0.0000000e+00;1.7210845e-03;1.0028533e+03;4.1217744e+03;3;
3.0037728e-01;0.0000000e+00;1.4134410e-01;2953;4.5439070e-03;0.0000000e+00;1.9326758e-03;1.0029108e+03;4.2055566e+03;3;
3.0034819e-01;0.0000000e+00;1.4627196e-01;2954;4.5584030e-03;0.0000000e+00;2.0743643e-03;1.0027838e+03;4.0205093e+03;3;
3.1407613e-01;0.0000000e+00;1.3352364e-01;3186;3.1420038e-04;0.0000000e+00;6.3828414e-04;1.0027216e+03;3.9299487e+03;3;
3.0547515e-01;0.0000000e+00;1.3837704e-01;3035;2.9331760e-03;0.0000000e+00;1.9802712e-03;1.0028605e+03;4.1323569e+03;3;
3.0531329e-01;0.0000000e+00;1.4366056e-01;3036;4.6113753e-03;0.0000000e+00;2.5780213e-03;1.0029814e+03;4.3085894e+03;3;
3.0534866e-01;0.0000000e+00;1.4882407e-01;3037;4.6915184e-03;0.0000000e+00;2.5149754e-03;1.0027275e+03;3.9386567e+03;3;
3.0955440e-01;0.0000000e+00;1.3481809e-01;3110;9.5593958e-04;0.0000000e+00;1.3975959e-03;1.0030886e+03;4.4649126e+03;3;
3.0981097e-01;0.0000000e+00;1.4073099e-01;3111;3.2759609e-03;0.0000000e+00;1.8616949e-03;1.0025780e+03;3.7210505e+03;3;
3.1002653e-01;0.0000000e+00;1.4612485e-01;3112;4.7908654e-03;0.0000000e+00;2.2319893e-03;1.0028190e+03;4.0718032e+03;3;
3.1445384e-01;0.0000000e+00;1.3836415e-01;3187;2.0566965e-03;0.0000000e+00;9.2798757e-04;1.0031383e+03;4.5374106e+03;3;
3.1466794e-01;0.0000000e+00;1.4337519e-01;3188;3.8103140e-03;0.0000000e+00;1.2430677e-03;1.0029786e+03;4.3044067e+03;3;
3.1929603e-01;0.0000000e+00;1.3512307e-01;3260;3.6909932e-04;0.0000000e+00;5.5973040e-04;1.0023286e+03;3.3585693e+03;3;
3.1507701e-01;0.0000000e+00;1.4840089e-01;3189;4.6336688e-03;0.0000000e+00;1.6947456e-03;1.0027839e+03;4.0207759e+03;3;
3.1972331e-01;0.0000000e+00;1.4522582e-01;3262;3.7943502e-03;0.0000000e+00;1.4992132e-03;1.0027101e+03;3.9133333e+03;3;
3.1952706e-01;0.0000000e+00;1.4010611e-01;3261;2.2967283e-03;0.0000000e+00;1.0300162e-03;1.0028747e+03;4.1529893e+03;3;
3.2413042e-01;0.0000000e+00;1.3695291e-01;3336;6.3962152e-04;0.0000000e+00;4.4475423e-04;1.0032322e+03;4.6744502e+03;3;
